"pubmedID","num_inter","n_proteins","methods"
"11701125","5","5","two hybrid"
"12657639","1","2","experimental interaction detection,two hybrid"
"9774382","1","2","beta lactamase complementation"
"12718880","2","3","anti tag coimmunoprecipitation"
"12819203","1","2","coimmunoprecipitation"
"12147674","1","2","anti tag coimmunoprecipitation,fluorescence microscopy,two hybrid"
"12857746","1","2","coimmunoprecipitation"
"12730235","1","2","coimmunoprecipitation,two hybrid"
"12891711","1","2","coimmunoprecipitation,imaging technique,pull down,two hybrid"
"9788432","5","5","coimmunoprecipitation"
"12757707","2","3","coimmunoprecipitation"
"12624090","1","2","anti tag coimmunoprecipitation,pull down,two hybrid"
"12871587","3","4","affinity chromatography technology"
"10642536","1","2","coimmunoprecipitation"
"12730237","1","2","imaging technique,two hybrid"
"8576115","1","2","affinity chromatography technology"
"7852312","1","2","pull down"
"12898523","1","2","coimmunoprecipitation,pull down"
"12907720","1","2","pull down"
"8663994","1","2","coimmunoprecipitation"
"10553045","1","2","coimmunoprecipitation"
"10366608","2","3","experimental interaction detection"
"11784851","2","3","anti bait coimmunoprecipitation"
"12421809","1","2","coimmunoprecipitation,two hybrid"
"12941695","2","3","coimmunoprecipitation"
"12963375","2","3","coimmunoprecipitation,pull down,two hybrid"
"11870209","2","3","pull down,two hybrid"
"11546791","1","2","coimmunoprecipitation,two hybrid"
"11854271","1","2","coimmunoprecipitation,two hybrid"
"12847098","1","2","pull down"
"12855700","1","2","anti bait coimmunoprecipitation"
"12885770","1","2","anti bait coimmunoprecipitation,anti tag coimmunoprecipitation"
"12900424","1","2","coimmunoprecipitation,experimental interaction detection,two hybrid"
"12826659","2","2","pull down,two hybrid"
"12819209","1","2","pull down"
"12764136","1","2","coimmunoprecipitation,pull down"
"12628924","1","2","anti tag coimmunoprecipitation"
"9792677","2","3","anti tag coimmunoprecipitation"
"10772338","1","2","surface plasmon resonance"
"14563850","1","2","coimmunoprecipitation"
"14559997","1","2","anti bait coimmunoprecipitation,coimmunoprecipitation,pull down"
"14576432","4","8","pull down"
"11171983","3","4","coimmunoprecipitation"
"14595808","4","5","far western blotting"
"10713667","3","4","two hybrid"
"12618428","1","2","pull down"
"9153224","1","2","pull down,two hybrid"
"10862767","1","2","coimmunoprecipitation"
"12615916","2","3","coimmunoprecipitation"
"12650940","1","2","coimmunoprecipitation,filter binding"
"10629061","1","1","anti tag coimmunoprecipitation"
"11230133","1","1","molecular sieving"
"12917339","2","3","coimmunoprecipitation"
"12732850","1","2","anti tag coimmunoprecipitation"
"11278849","1","2","enzyme linked immunosorbent assay,pull down,two hybrid"
"9334338","3","4","coimmunoprecipitation"
"10531379","8","7","two hybrid"
"12805554","4","4","peptide array"
"10373536","1","2","coimmunoprecipitation"
"10468606","1","2","anti tag coimmunoprecipitation"
"10551855","2","3","coimmunoprecipitation"
