"pubmedID","pvalue_original","pvalue","gof_original","gof","xmin_est_original","xmin","methods","n_inter","n_baits","n_preys","n_common_bait_prey","n_changeDegree_proteins","ratio_bait_prey"
"21900206",0.31,"0",0.0460824097869574,"0.0698228211898851",12,"2","two hybrid",2609,285,878,48,"285",0.324601366742597
"21364888",0.45,"0.07",0.111901431753309,"0.47755439891393",3,"1","anti tag coimmunoprecipitation",20,6,7,2,"6",0.857142857142857
"20864041",0.6,"0.32",0.0782571258985801,"0.101104060796418",2,"2","pull down",24,17,18,14,"6",0.944444444444444
"15923622",0.97,"0.47",0.0487919785785285,"0.0952199147875309",1,"2","anti bait coimmunoprecipitation",18,4,13,4,"2",0.307692307692308
"16024656",0.38,"0.12",0.275706415946997,"0.185368912741392",5,"2","anti tag coimmunoprecipitation",23,6,9,6,"5",0.666666666666667
"23555304",0.19,"0.23",0.131780869911823,"0.0981133592398505",3,"2","two hybrid",57,18,18,15,"18",1
"21903422",0.63,"0.41",0.0173505896563789,"0.027785539267938",1,"2","anti tag coimmunoprecipitation",301,85,223,74,"44",0.381165919282511
"22500027",0.23,"0.02",0.160432326268162,"0.206776171332847",3,"2","anti tag coimmunoprecipitation",32,10,12,9,"6",0.833333333333333
"22203680",0.16,"0.82",0.197899669493307,"0.0762073613000374",3,"3","pull down",19,2,8,2,"2",0.25
"22863007",0.45,"0.13",0.0960646687182808,"0.131168461376958",1,"1","anti tag coimmunoprecipitation",17,10,8,7,"2",0.8
"22980980",0.29,"0.3",0.159320765971369,"0.180960844704546",4,"4","anti tag coimmunoprecipitation",33,6,11,6,"6",0.545454545454545
"23238014",0.16,"0.23",0.130594088085075,"0.125114344961351",1,"2","anti bait coimmunoprecipitation",30,6,18,6,"6",0.333333333333333
"21981923",0.69,"0.02",0.162235499006197,"0.310675753221386",7,"1","anti tag coimmunoprecipitation",33,6,12,3,"4",0.5
"23260140",0.66,"0.17",0.0372385106646702,"0.0547421348932686",1,"1","anti tag coimmunoprecipitation",107,9,41,9,"8",0.219512195121951
"16360038",0.54,"0.24",0.151079009700146,"0.228931375005308",3,"2","pull down",12,2,7,2,"1",0.285714285714286
"23540691",0.15,"0.1",0.183321735733607,"0.214042449954252",1,"1","anti bait coimmunoprecipitation",12,5,8,5,"2",0.625
"24366813",0.1,"0.24",0.0355723017316847,"0.0540678162640525",1,"4","anti tag coimmunoprecipitation",451,34,263,28,"33",0.129277566539924
"23524849",0.12,"0.01",0.124409847582738,"0.314484942061457",2,"1","anti tag coimmunoprecipitation",39,3,22,1,"3",0.136363636363636
"22540012",0.16,"0.29",0.174482212140825,"0.120121192287784",3,"1","anti bait coimmunoprecipitation",18,2,11,1,"2",0.181818181818182
"23870121",0.64,"0",0.119258373495269,"0.22900665760942",8,"2","anti bait coimmunoprecipitation",39,8,12,7,"8",0.666666666666667
"10852826",0.64,"0.12",0.119948649095788,"0.344373791710538",3,"2","far western blotting",14,6,7,4,"3",0.857142857142857
"25640309",0.88,"0.74",0.0500138945457755,"0.0616066502461527",10,"11","two hybrid array",599,49,151,8,"44",0.324503311258278
"23299939",0.75,"0.8",0.117196909897488,"0.0916422277009667",5,"4","anti tag coimmunoprecipitation",21,7,8,6,"5",0.875
