"pubmedID","pvalue","xmin_est","xmax","ntail","len_degree","unique_degree","gof","alpha","n_inter"
"16230076","0.8","1","17","18","18","4","0.0434579670995537","2.34632460442458",20
"27499296","0.24","15","230","120","536","64","0.0566992458398639","2.28804418103896",3365
"24360279","0.75","2","6","5","8","5","0.118591305203015","2.50405158830674",10
"25470060","0.64","2","7","6","8","4","0.112390614689991","3.05035484693083",10
"16212417","0.38","1","24","31","31","4","0.0480952335790413","2.5785584874454",33
"22682247","0.78","1","21","22","22","4","0.0397226604428108","2.47983878980195",24
"26463206","0.4","3","6","7","10","5","0.161601868354709","3.3010377499143",16
"24056301","0.14","1","5","10","10","5","0.165592901609345","1.88464456721882",12
"22889411","0.05","1","57","61","61","4","0.0542602554204489","3.1188193056577",64
"18922472","0.25","1","48","47","47","6","0.0602717047098276","2.1958909526506",66
"10644691","0.54","2","5","6","9","4","0.118266114378975","2.99791162528626",10
"19376773","0.65","1","10","16","16","5","0.0674616657645122","2.06565872882196",18
"19168127","0.03","3","11","11","14","6","0.223543251443902","3.14126593554274",29
"8636150","0.57","4","6","8","10","4","0.105518070875841","4.78998391483473",22
"26091241","0.29","1","30","35","35","4","0.053184060922469","2.58129877513166",37
"24885147","0.71","2","21","12","23","6","0.0706397045626636","2.39351837681272",33
"23326349","0.44","3","11","5","12","4","0.136210493596687","2.89403726267645",16
"19410544","0.93","1","13","19","19","5","0.0351885750201867","2.21296343699503",21
"20504901","0.07","2","14","12","18","4","0.233123837439808","2.89893054538383",26
"22407294","0.03","1","13","14","14","3","0.181524517406865","1.98956880241003",19
"23828041","0.68","2","6","7","10","5","0.110434728519494","2.59572171551948",13
"26167883","0.32","3","11","7","14","6","0.141090815279374","2.6073028635716",23
"20953179","0.68","3","10","6","11","5","0.124914679292283","2.8690933389616",17
"23260140","0.64","1","35","70","70","12","0.0372385106646702","1.97063235898745",107
"22912744","0.64","3","23","8","22","6","0.100731239428992","2.37209787403155",35
"10922056","0.32","2","9","9","12","5","0.142401855101304","2.61095012369962",18
"20431927","0.07","1","18","41","41","7","0.0857943893000019","2.02470494974046",59
"18070987","0.68","3","6","5","7","4","0.157595459768445","3.49962102109423",11
"10567706","0.6","2","10","6","10","5","0.106783488447627","2.39488120729137",14
"21030982","0.31","1","19","18","18","3","0.0804519568015483","2.42263014605803",20
"21873227","0.13","2","7","8","8","4","0.200263052902191","2.22495633936011",16
"24837678","0.9","6","8","7","12","6","0.0485623789998439","8.74213897953586",27
"8756624","0.38","2","8","7","12","4","0.130082541478612","2.68813337064942",14
"9660939","0.08","1","4","6","6","3","0.456916468950753","1.67483970148052",9
