"pvalue_degree","pvalue_bait","num_inter","n_proteins","n_NA_degree","n_NA_bait"
0,0.86,73583,10299,0,0
0.14,0.84,106925,12985,0,0
0.33,0.42,65408,9991,0,0
0.02,0.42,64003,10577,0,0
0.38,0.66,60702,9761,0,0
0,0,118488,13145,0,0
0.02,0.14,66926,10264,0,0
0.13,0.68,64689,9478,0,0
0.06,0.12,117843,13265,0,0
0.43,0.57,95231,13315,0,0
0,0.71,61747,9802,0,0
0.01,0.75,93777,12791,0,0
0,0.63,45523,9262,0,0
0.52,0.08,46819,9688,0,0
0,0.99,111682,13420,0,0
0.04,0,51444,9811,0,0
0.37,0.64,116937,13328,0,0
0.01,0.82,74303,10765,0,0
0.36,0.28,107706,13628,0,0
0,0.42,61392,9861,0,0
0,0.46,101020,12969,0,0
0,0.4,112015,13616,0,0
0,0.77,102316,12921,0,0
0.01,0.69,108555,13183,0,0
0,0.48,102930,13254,0,0
0,0.87,118565,13725,0,0
0.28,0,116708,13014,0,0
0,0,103705,13085,0,0
0.24,0.18,66998,10204,0,0
0,0,116690,13187,0,0
0.85,0.6,110718,13500,0,0
0.24,0.94,50966,9589,0,0
0.39,0.49,47258,9623,0,0
0.81,0.39,109403,12969,0,0
0,0.88,99434,13531,0,0
0,0.78,59157,10532,0,0
0,0.84,113804,13349,0,0
0.45,0.71,43560,9924,0,0
0.04,0.52,95033,13384,0,0
0.46,0.51,114724,13333,0,0
0.22,0.16,113426,13165,0,0
0.12,0.83,118361,13271,0,0
0.07,0.29,67879,10316,0,0
0,0.33,111787,13717,0,0
0.04,0.68,104076,13514,0,0
0,0.32,98136,13254,0,0
0,0.2,114062,13443,0,0
0,0.53,111570,13135,0,0
0.29,0,52112,10253,0,0
0,0.28,102544,13276,0,0
0.42,0.73,110527,13639,0,0
0.2,0.8,52668,10116,0,0
0,0.17,112524,13113,0,0
0.06,0.48,61644,10004,0,0
0,0,104911,13384,0,0
0.23,0,103249,13184,0,0
0,0,107558,13519,0,0
0,0,59727,9822,0,0
0.02,0,61448,9914,0,0
0.14,0.02,115053,13400,0,0
0.17,0,55810,9439,0,0
0.02,0.61,40447,8962,0,0
0.01,0.93,116250,13075,0,0
0.04,0.01,57637,9366,0,0
0.05,0.99,112906,13354,0,0
0,0,117344,13573,0,0
0,0.15,56325,9328,0,0
0.08,0.38,55741,10255,0,0
