"pubmedID","num_inter","n_proteins"
"1375232","1","2"
"7680037","1","2"
"17662946","1","2"
"12878163","4","5"
"9038210","1","2"
"9355737","4","5"
"10397721","2","3"
"7526158","1","2"
"11809791","2","3"
"11895784","1","2"
"9092574","4","5"
"8647802","5","5"
"9872323","7","8"
"11805142","1","2"
"12036870","3","4"
"11018522","2","2"
"12646235","2","3"
"10636863","1","2"
"14523017","10","6"
"10679268","1","2"
"10872802","7","8"
"14981116","1","2"
"7515063","2","2"
"12435267","2","3"
"7721825","7","7"
"12468645","4","5"
"12387813","2","3"
"7678701","2","3"
"9208935","2","3"
"8824280","3","4"
"10358777","2","3"
"7565724","3","4"
"8805332","6","7"
"8753773","2","3"
"11672534","1","2"
"15536084","8","9"
"12387730","2","3"
"9551996","1","2"
"12473651","3","4"
"10527858","2","3"
"10066823","3","4"
"10229804","4","4"
"11438656","1","2"
"12814948","2","2"
"11101851","5","5"
"11585921","7","7"
"11823475","1","2"
"11368509","1","2"
"9809063","2","3"
"10664448","1","2"
"12111331","2","3"
"16439205","4","4"
"21768349","3","2"
"9054360","1","2"
"7523406","1","2"
"1377690","3","4"
"12839624","3","4"
"10557084","7","6"
"10512627","6","7"
"26344197","16034","3327"
"26824392","63","47"
"25860027","3","4"
"11137014","2","3"
"20634958","3","4"
"20085643","3","3"
"20161783","4","4"
"23357852","3","4"
"20388642","1","2"
"22854040","5","4"
"8643544","1","2"
"12578829","33","16"
"7544344","1","2"
"11773082","10","10"
"12590134","11","12"
"12176990","4","4"
"23140275","2","3"
"24700782","7","6"
"26553929","33","14"
"11513746","1","1"
"10865839","1","2"
"12796773","2","4"
"25387128","2","3"
"8621427","2","3"
"17051153","1","2"
"9393862","1","2"
"10543948","1","2"
"8631822","3","3"
"21939755","2","3"
"1312256","2","2"
"20660291","5","5"
"21596751","6","6"
"9398617","4","4"
"10749680","7","5"
"9452434","1","2"
"14684734","1","2"
"8700872","3","4"
"9751730","1","2"
"10409677","3","4"
"8650218","2","3"
"9681824","10","8"
"11791185","2","3"
"11560935","2","3"
"10848612","9","6"
"12620389","32","23"
"10671570","1","2"
"17474147","974","342"
"10570155","1","2"
"7809086","4","5"
"11857081","10","9"
"15031288","11","12"
"11711546","6","7"
"8999038","6","5"
"16051226","6","5"
"26186194","21277","7113"
"10997905","1","2"
"17028186","1","2"
"1377404","2","3"
"11943772","3","3"
"9171348","3","3"
"11744621","6","6"
"14993658","2","2"
"11157475","10","10"
"12149655","1","2"
"8621719","16","12"
"12244174","3","4"
"9160881","2","3"
"15190072","10","8"
"7782294","5","6"
"18235045","3","4"
"10586033","5","6"
"8885868","8","8"
"8657103","6","6"
"1689310","6","7"
"7682059","9","9"
"15144186","21","19"
"20037584","7","6"
"10574931","3","4"
"11042209","1","2"
"12468540","4","5"
"8114715","4","5"
"8692915","4","5"
"10488096","4","5"
"22624718","7","7"
"9633884","1","2"
"10945993","1","2"
"7575560","1","2"
"8058772","3","4"
"11226282","2","3"
"11598012","7","7"
"8629002","6","6"
"8630736","6","6"
"9892356","1","2"
"8399167","2","3"
"12219031","2","3"
"1722201","1","2"
"22731636","3","4"
"7831290","4","4"
"11536198","2","4"
"9820500","2","2"
"10206997","1","2"
"12810716","2","3"
"12181444","4","5"
"8395016","4","5"
"10981967","5","6"
"11358993","1","2"
