"pvalue","num_inter","n_proteins","xmin","alpha","ntail","pubmedIDs"
"0.27","53639","9831","27","2.39699506693659","716","10085298,10220385,10545207,10608806,10790433,11564863,12192000,12234937,12242293,12376572,12615911,14638676,14697242,14743216,15096576,15102850,15383276,15576338,15983046,15998806,16230350,16263121,16484223,16620772,16713569,17043677,17101133,17235358,17289999,17403899,18000879,18029035,18729074,19168127,19596686,19688755,19953087,20133760,20603019,21081503,21123453,21145461,21163940,21177249,21642987,21965653,21988832,22094255,22100920,22119785,22337587,22365833,22446626,22939624,23275563,23455924,23602568,23602572,23623729,23954414,24337577,24550280,24584437,24606901,24654937,24835590,24947832,25502805,25582440,25609649,25670202,25944111,25959826,26389662,26472760,26748699,26816005,26972000,27153538,27505670,27563068,27609421,27626385,27684187,27880917,27986371,28805820,28883622,28977470,29104064,29128334,29845934,29997244,31391242,32203420,32761762,32814053,33436498,35016035,9852078"
"0.45","51157","8195","61","3.07133901580406","274","10069390,10085298,10373544,10747088,10862698,12609980,12676926,14532007,14657022,15310755,15576338,15983046,16115810,16273093,16307923,16510448,16622419,16713569,16730941,17079684,17235358,17588522,17620599,18599441,18765789,19167051,19168127,19369418,19447967,19692572,19995937,20431927,20467437,20504901,20531386,20603019,20921139,20959446,21078624,21163940,21177249,21182203,21252943,21674799,21965653,22119785,22402981,22446626,22751105,22863883,22939624,22939629,22990118,23201271,23572552,23602568,23956175,24344204,24463511,24584437,24606901,24811749,24835590,24976009,25011449,25402006,25502805,25702638,25900982,26355680,26389662,26593974,26687479,26841866,26906416,27107012,27291054,27472814,27505670,27637333,27684187,27880917,28215707,28805820,28883622,29021621,29100370,29104064,29721183,29845934,29985131,29997244,30108113,30833792,7739537,9169421,9452425,9472029,9660939,unassigned1312"
"0","83834","11821","52","2.70750652972413","682","10085298,10827173,10882111,11359773,11564863,12032305,12192000,12376572,12453419,12577067,12614612,14523017,14580349,14638676,14968112,15161933,15190072,15231748,15488952,15576338,15960975,16253997,16582099,16620772,16730941,16990800,17043677,17174955,17215244,17361185,18765789,18805092,19995937,20133760,20467437,20562864,20603015,20614026,20921139,20930030,20936779,20959446,21044950,21078624,21575865,21757351,21988832,22402981,22407294,22658674,22863883,22889411,22939629,23022380,23463506,23602572,23623729,23954414,23956175,23975195,24550280,24658140,24728074,25011449,25517094,25900982,25940091,25959826,26167880,26655834,26686862,26687479,27113764,27193682,27432908,27565346,27626385,27684187,27880917,28533407,28977666,29053956,29104064,29128334,29251827,29507755,29511261,29774127,29867216,30021884,30824926,30833792,31413325,32707033,32814053,34316702,90000000,9624153,unassigned3273,unassigned3314"
"0.22","64388","10946","30","2.77931806871224","906","10092678,10329441,10747088,11893732,11940657,12242293,12376551,12376572,14657022,14743216,15207703,15231748,15616580,16263121,16307923,16484223,16510448,16713569,16893902,17148452,17174955,17255935,17403899,17474147,18330356,19156129,19172752,19380743,19470757,19549727,19596235,19738201,19766566,19953087,20085707,20098423,20195357,20431927,20808282,20921139,20930030,20959446,21078624,21314817,21674799,21757351,22195966,22441691,22453275,22453919,22623428,22863883,23022380,23091066,23160376,23236378,23444366,23455924,23464991,23572552,24337577,24412244,24457600,24550280,24981860,25332235,25402006,25515538,25604459,25665578,25684205,25900982,25959826,26167880,26186194,26472760,26593974,26638075,26748699,26841866,27153538,27432908,27545878,27626385,27880917,29021621,29426014,29467281,29507755,29511261,29721183,29911972,29997244,31391242,34316702,8641358,9169421,9472029,9852078,unassigned5"
"0.8","96484","12641","78","3.30556825813482","286","10069390,10329441,10373544,10608806,10747088,11163245,11359773,11585930,11940657,12192000,12615911,12665583,14532007,14697242,14743216,14968112,15084259,15174051,16230350,16263121,16273093,16325183,16510448,16582099,16622419,16964240,17353931,17403899,17461779,17474147,17540176,17588522,17785442,17932509,18805092,19167051,19214193,19377461,19380743,19470757,19596686,19597476,19622774,19953087,20368287,20467437,20603015,20936779,21044950,21182203,21252943,21314817,21382349,21757351,21965653,22195966,22407294,23084401,23160376,23292512,23349634,23464991,23658844,23770852,23986595,24366813,24463511,24584437,24658140,24811749,24947832,24976009,25011449,25517094,25582440,25756610,25900982,26167880,26382858,26508657,26514267,27173435,27432908,27505670,27545878,27637333,27684187,27693506,28514442,28628118,28977470,29507755,29513927,29867216,34316702,9242638,9417867,9751720,9852078,unassigned3314"
"0.09","64265","10975","18","2.45203682761917","1667","10373544,10862698,11585930,12192000,12614612,14523017,14532007,14580349,14968112,15231748,15310755,16263121,16469706,16541103,16622419,16679322,16730941,17174955,17215244,17426036,17588522,17620599,18000879,18157088,18255255,18632619,19193609,19447967,19470757,19549727,19596686,19690564,19738201,19920073,20080579,20467437,20603019,20614026,20930030,20959446,21252943,21382349,21525244,21757351,22441691,22558309,22863883,23084401,23201271,23349634,23414517,23443559,23455922,23954414,24315095,24550280,24584437,24835590,24947832,24981860,25281560,25702638,25900982,25910212,25963833,26167880,26186194,26355680,26382858,26389662,26527279,26655834,26816005,27229929,27291054,27986371,28805820,28883622,28977470,29021621,29053956,29104064,29426014,29507755,29513927,29568061,29643511,29845934,29997244,30824926,31617661,34316702,34799561,8895581,90000000,9159119,9242638,9452425,9852078,unassigned3273"
"0.15","34009","7650","10","2.13889035684554","1368","10085298,10092678,10545207,11279102,11940657,12032298,12242293,14968112,15175163,15310755,15561718,15616580,16253997,16622419,16964240,17000644,17043677,17079684,17141982,17235358,17255935,17289999,17353931,17403899,17620599,18765789,19156129,19172752,19193609,19214193,19343720,19380743,19596235,19622774,19692572,19738201,19953087,19995937,20016603,20085707,20332121,20603019,20811636,20936779,20972456,21123453,21252943,21653829,21965653,22094255,22402981,22407294,22441691,22466964,22889411,23160376,23236378,23444366,23623729,23770852,24463511,24550280,24654937,24882805,25281560,25332235,25515538,25702638,25752541,25940091,25944111,25959826,25963833,26167880,26389662,26508657,26527279,26638075,26655834,26687479,26816005,27086506,27152988,27472814,27545878,27693506,28805820,28883622,28977666,29511261,29721183,31980649,34799561,35016035,8641358,8654373,9417867,9852078,unassigned3273,unassigned5"
"0.43","48427","8504","67","2.86776068093874","230","10329441,10747088,10827173,11745344,12376551,12577067,12665583,12676926,14580349,14636569,14657022,15102850,15174051,15207703,15231748,15998806,16273093,16923123,16949367,17000644,17043677,17079684,17141982,17174955,17314511,17785442,18330356,18632619,19156129,19214193,19343720,19369418,19622774,19688755,19738201,19766566,19953087,19995937,20085707,20098423,20332121,20614026,20936779,21044950,21555454,22100920,22195966,22365833,22441691,22453275,22453919,22466964,22558309,22939624,22939629,23160376,23201271,23275563,23455924,23464991,23602572,24366813,24584437,24976009,25036637,25123934,25260751,25402006,25517094,25604459,25670202,25959826,26514267,26841866,27432908,27563068,27565346,27609421,27626385,27684187,27705803,28805820,28883622,28977470,28977666,29100370,29104064,29467281,29511261,29636472,29867216,30194290,32203420,32814053,35016035,7739537,8641358,8657117,9325248,9472029"
"0.17","105447","13046","62","3.20089516739618","505","10747088,10882111,11163245,12032298,12242293,14580349,14697242,15207703,15231748,15989967,16230350,16253997,16374509,16730941,16949367,17043677,17101133,17148452,17174955,17255935,17314511,17361185,17716973,17785442,17932509,18255255,18654987,18765789,18805092,19369418,19596686,19692572,19766566,19953087,20080579,20098423,20133760,20308539,20368287,20431927,20531386,20808282,20959446,21044950,21081503,21177249,21525244,21642987,21653829,21757351,21988832,22119785,22453275,22863883,22939629,23084401,23091066,23349634,23455924,23623729,23658844,23752268,23975195,23986595,24412244,24658140,24711643,24976009,25281560,25582440,25604459,25702638,25752541,25963833,26297806,26514267,26527279,26593974,26748699,27113764,27152988,27229929,27565346,27705803,28514442,29053956,29513927,29568061,29636472,30824926,30833792,31413325,31617661,35016035,8641358,8652557,8895581,9159119,9325248,9852078"
"0.02","75600","12142","33","2.54953011013751","872","11279102,11509230,11546873,11564863,11745344,11893732,12376572,12665583,12724401,14523017,14636569,15096576,15174051,15324660,15561718,15576338,15616580,16469706,16541103,16713569,16893902,16949367,16990800,17043677,17079684,17174955,17353931,17461779,17620599,18000879,18255255,18654987,19168127,19343720,19377461,19447967,19688755,20085707,20195357,20431927,20434986,20504901,20930030,21044950,21081503,21177249,21314817,21525244,21575865,21965653,22094255,22100920,22119785,22365833,22658674,22889411,22939624,23292512,23443559,23463506,23770852,24189400,24366813,24711643,24835590,24981860,25260751,25332235,25502805,25609649,25665578,25900982,25910212,26186194,26382858,26514267,26527279,27113764,27153538,27229929,27684187,28977666,29104064,29513927,29721183,29774127,29845934,30824926,31694235,32814053,32960270,33436498,34799561,8654373,90000000,9242638,9452425,9624153,9687515,unassigned3273"
